Rule,Body_Relations,Head_Relation,Count,Body_Count,Support,Confidence,Chain_Length
"sisterOf(X,Y) ∧ sisterOf(Y,Z) ∧ granddaughterOf(Z,W) → granddaughterOf(X,W)",sisterOf -> sisterOf -> granddaughterOf,granddaughterOf,1492,1492,0.10795166775197164,1.0,3
"sisterOf(X,Y) ∧ brotherOf(Y,Z) ∧ granddaughterOf(Z,W) → granddaughterOf(X,W)",sisterOf -> brotherOf -> granddaughterOf,granddaughterOf,1458,1458,0.10549164315172563,1.0,3
"brotherOf(X,Y) ∧ sisterOf(Y,Z) ∧ grandsonOf(Z,W) → grandsonOf(X,W)",brotherOf -> sisterOf -> grandsonOf,grandsonOf,1254,1254,0.09073149555024962,1.0,3
"daughterOf(X,Y) ∧ fatherOf(Y,Z) ∧ granddaughterOf(Z,W) → granddaughterOf(X,W)",daughterOf -> fatherOf -> granddaughterOf,granddaughterOf,1138,1138,0.08233847044352796,1.0,3
"brotherOf(X,Y) ∧ brotherOf(Y,Z) ∧ grandsonOf(Z,W) → grandsonOf(X,W)",brotherOf -> brotherOf -> grandsonOf,grandsonOf,1116,1116,0.08074668981983937,1.0,3
"grandmotherOf(X,Y) ∧ sisterOf(Y,Z) ∧ sisterOf(Z,W) → grandmotherOf(X,W)",grandmotherOf -> sisterOf -> sisterOf,grandmotherOf,1114,1114,0.08060198249041314,1.0,3
"grandfatherOf(X,Y) ∧ sisterOf(Y,Z) ∧ sisterOf(Z,W) → grandfatherOf(X,W)",grandfatherOf -> sisterOf -> sisterOf,grandfatherOf,1114,1114,0.08060198249041314,1.0,3
"girlCousinOf(X,Y) ∧ girlCousinOf(Y,Z) ∧ greatGranddaughterOf(Z,W) → greatGranddaughterOf(X,W)",girlCousinOf -> girlCousinOf -> greatGranddaughterOf,greatGranddaughterOf,1056,1056,0.07640546993705231,1.0,3
"sonOf(X,Y) ∧ fatherOf(Y,Z) ∧ grandsonOf(Z,W) → grandsonOf(X,W)",sonOf -> fatherOf -> grandsonOf,grandsonOf,1054,1054,0.07626076260762607,1.0,3
"grandmotherOf(X,Y) ∧ brotherOf(Y,Z) ∧ sisterOf(Z,W) → grandmotherOf(X,W)",grandmotherOf -> brotherOf -> sisterOf,grandmotherOf,995,995,0.07199189638955213,1.0,3
"grandmotherOf(X,Y) ∧ sisterOf(Y,Z) ∧ brotherOf(Z,W) → grandmotherOf(X,W)",grandmotherOf -> sisterOf -> brotherOf,grandmotherOf,995,995,0.07199189638955213,1.0,3
"grandfatherOf(X,Y) ∧ brotherOf(Y,Z) ∧ sisterOf(Z,W) → grandfatherOf(X,W)",grandfatherOf -> brotherOf -> sisterOf,grandfatherOf,995,995,0.07199189638955213,1.0,3
"grandfatherOf(X,Y) ∧ sisterOf(Y,Z) ∧ brotherOf(Z,W) → grandfatherOf(X,W)",grandfatherOf -> sisterOf -> brotherOf,grandfatherOf,995,995,0.07199189638955213,1.0,3
"sisterOf(X,Y) ∧ sisterOf(Y,Z) ∧ daughterOf(Z,W) → daughterOf(X,W)",sisterOf -> sisterOf -> daughterOf,daughterOf,968,968,0.07003834744229795,1.0,3
"nephewOf(X,Y) ∧ sisterOf(Y,Z) ∧ granddaughterOf(Z,W) → greatGrandsonOf(X,W)",nephewOf -> sisterOf -> granddaughterOf,greatGrandsonOf,934,934,0.06757832284205195,1.0,3
"sisterOf(X,Y) ∧ sisterOf(Y,Z) ∧ greatGranddaughterOf(Z,W) → greatGranddaughterOf(X,W)",sisterOf -> sisterOf -> greatGranddaughterOf,greatGranddaughterOf,924,924,0.06685478619492077,1.0,3
"grandmotherOf(X,Y) ∧ sisterOf(Y,Z) ∧ auntOf(Z,W) → greatGrandmotherOf(X,W)",grandmotherOf -> sisterOf -> auntOf,greatGrandmotherOf,860,860,0.06222415165328124,1.0,3
"grandfatherOf(X,Y) ∧ sisterOf(Y,Z) ∧ auntOf(Z,W) → greatGrandfatherOf(X,W)",grandfatherOf -> sisterOf -> auntOf,greatGrandfatherOf,860,860,0.06222415165328124,1.0,3
"sisterOf(X,Y) ∧ brotherOf(Y,Z) ∧ daughterOf(Z,W) → daughterOf(X,W)",sisterOf -> brotherOf -> daughterOf,daughterOf,857,857,0.06200709065914189,1.0,3
"sisterOf(X,Y) ∧ brotherOf(Y,Z) ∧ greatGranddaughterOf(Z,W) → greatGranddaughterOf(X,W)",sisterOf -> brotherOf -> greatGranddaughterOf,greatGranddaughterOf,850,850,0.06150061500615006,1.0,3
"daughterOf(X,Y) ∧ motherOf(Y,Z) ∧ granddaughterOf(Z,W) → granddaughterOf(X,W)",daughterOf -> motherOf -> granddaughterOf,granddaughterOf,844,844,0.06106649301787136,1.0,3
"daughterOf(X,Y) ∧ fatherOf(Y,Z) ∧ daughterOf(Z,W) → daughterOf(X,W)",daughterOf -> fatherOf -> daughterOf,daughterOf,844,844,0.06106649301787136,1.0,3
"grandmotherOf(X,Y) ∧ brotherOf(Y,Z) ∧ brotherOf(Z,W) → grandmotherOf(X,W)",grandmotherOf -> brotherOf -> brotherOf,grandmotherOf,824,824,0.059619419723609,1.0,3
"grandfatherOf(X,Y) ∧ brotherOf(Y,Z) ∧ brotherOf(Z,W) → grandfatherOf(X,W)",grandfatherOf -> brotherOf -> brotherOf,grandfatherOf,824,824,0.059619419723609,1.0,3
"nieceOf(X,Y) ∧ brotherOf(Y,Z) ∧ granddaughterOf(Z,W) → greatGranddaughterOf(X,W)",nieceOf -> brotherOf -> granddaughterOf,greatGranddaughterOf,820,820,0.05933000506475653,1.0,3
