Rule,Pattern,Relation1,Relation2,Rel_A_to_C,Rel_C_to_A,Count,Body_Count,Support,Confidence
"grandmotherOf(A,B) ∧ sisterOf(C,B) → grandmotherOf(A,C) ∧ granddaughterOf(C,A)","A→[grandmotherOf]B←[sisterOf]C ⇒ A↔[grandmotherOf,granddaughterOf]C",grandmotherOf,sisterOf,grandmotherOf,granddaughterOf,420,420,0.03038853917950944,1.0
"grandfatherOf(A,B) ∧ sisterOf(C,B) → grandfatherOf(A,C) ∧ granddaughterOf(C,A)","A→[grandfatherOf]B←[sisterOf]C ⇒ A↔[grandfatherOf,granddaughterOf]C",grandfatherOf,sisterOf,grandfatherOf,granddaughterOf,410,410,0.029665002532378266,1.0
"grandmotherOf(A,B) ∧ brotherOf(C,B) → grandmotherOf(A,C) ∧ grandsonOf(C,A)","A→[grandmotherOf]B←[brotherOf]C ⇒ A↔[grandmotherOf,grandsonOf]C",grandmotherOf,brotherOf,grandmotherOf,grandsonOf,399,399,0.02886911222053397,1.0
"grandfatherOf(A,B) ∧ brotherOf(C,B) → grandfatherOf(A,C) ∧ grandsonOf(C,A)","A→[grandfatherOf]B←[brotherOf]C ⇒ A↔[grandfatherOf,grandsonOf]C",grandfatherOf,brotherOf,grandfatherOf,grandsonOf,392,392,0.028362636567542145,1.0
"sisterOf(A,B) ∧ grandfatherOf(C,B) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A→[sisterOf]B←[grandfatherOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",sisterOf,grandfatherOf,granddaughterOf,grandfatherOf,337,337,0.024383185008320672,1.0
"sisterOf(A,B) ∧ grandmotherOf(C,B) → granddaughterOf(A,C) ∧ grandmotherOf(C,A)","A→[sisterOf]B←[grandmotherOf]C ⇒ A↔[granddaughterOf,grandmotherOf]C",sisterOf,grandmotherOf,granddaughterOf,grandmotherOf,327,327,0.023659648361189493,1.0
"greatGrandfatherOf(A,B) ∧ uncleOf(C,B) → grandfatherOf(A,C) ∧ grandsonOf(C,A)","A→[greatGrandfatherOf]B←[uncleOf]C ⇒ A↔[grandfatherOf,grandsonOf]C",greatGrandfatherOf,uncleOf,grandfatherOf,grandsonOf,313,313,0.022646697055205847,1.0
"greatGrandfatherOf(A,B) ∧ auntOf(C,B) → grandfatherOf(A,C) ∧ granddaughterOf(C,A)","A→[greatGrandfatherOf]B←[auntOf]C ⇒ A↔[grandfatherOf,granddaughterOf]C",greatGrandfatherOf,auntOf,grandfatherOf,granddaughterOf,305,305,0.022067867737500906,1.0
"grandmotherOf(A,B) ∧ girlCousinOf(C,B) → grandmotherOf(A,C) ∧ granddaughterOf(C,A)","A→[grandmotherOf]B←[girlCousinOf]C ⇒ A↔[grandmotherOf,granddaughterOf]C",grandmotherOf,girlCousinOf,grandmotherOf,granddaughterOf,300,300,0.021706099413935316,1.0
"greatGrandmotherOf(A,B) ∧ uncleOf(C,B) → grandmotherOf(A,C) ∧ grandsonOf(C,A)","A→[greatGrandmotherOf]B←[uncleOf]C ⇒ A↔[grandmotherOf,grandsonOf]C",greatGrandmotherOf,uncleOf,grandmotherOf,grandsonOf,298,298,0.02156139208450908,1.0
"greatGrandmotherOf(A,B) ∧ auntOf(C,B) → grandmotherOf(A,C) ∧ granddaughterOf(C,A)","A→[greatGrandmotherOf]B←[auntOf]C ⇒ A↔[grandmotherOf,granddaughterOf]C",greatGrandmotherOf,auntOf,grandmotherOf,granddaughterOf,292,292,0.021127270096230374,1.0
"grandmotherOf(A,B) ∧ nephewOf(C,B) → greatGrandmotherOf(A,C) ∧ greatGrandsonOf(C,A)","A→[grandmotherOf]B←[nephewOf]C ⇒ A↔[greatGrandmotherOf,greatGrandsonOf]C",grandmotherOf,nephewOf,greatGrandmotherOf,greatGrandsonOf,290,290,0.020982562766804137,1.0
"brotherOf(A,B) ∧ grandfatherOf(C,B) → grandsonOf(A,C) ∧ grandfatherOf(C,A)","A→[brotherOf]B←[grandfatherOf]C ⇒ A↔[grandsonOf,grandfatherOf]C",brotherOf,grandfatherOf,grandsonOf,grandfatherOf,281,281,0.02033137978438608,1.0
"sisterOf(A,B) ∧ brotherOf(C,B) → sisterOf(A,C) ∧ brotherOf(C,A)","A→[sisterOf]B←[brotherOf]C ⇒ A↔[sisterOf,brotherOf]C",sisterOf,brotherOf,sisterOf,brotherOf,277,277,0.02004196512553361,1.0
"nieceOf(A,B) ∧ grandmotherOf(C,B) → greatGranddaughterOf(A,C) ∧ greatGrandmotherOf(C,A)","A→[nieceOf]B←[grandmotherOf]C ⇒ A↔[greatGranddaughterOf,greatGrandmotherOf]C",nieceOf,grandmotherOf,greatGranddaughterOf,greatGrandmotherOf,276,276,0.01996961146082049,1.0
"brotherOf(A,B) ∧ grandmotherOf(C,B) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A→[brotherOf]B←[grandmotherOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",brotherOf,grandmotherOf,grandsonOf,grandmotherOf,274,274,0.019824904131394254,1.0
