Rule,Pattern,Rel_B_to_A,Rel_B_to_C,Rel_A_to_C,Rel_C_to_A,Count,Body_Count,Support,Confidence
"greatAuntOf(B,A) ∧ grandmotherOf(B,C) → girlSecondCousinOf(A,C) ∧ boySecondCousinOf(C,A)","A←[greatAuntOf]B→[grandmotherOf]C ⇒ A↔[girlSecondCousinOf,boySecondCousinOf]C",greatAuntOf,grandmotherOf,girlSecondCousinOf,boySecondCousinOf,30,55,0.0021706099413935317,0.5454545454545454
"boySecondCousinOf(B,A) ∧ sonOf(B,C) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondUncleOf(C,A)","A←[boySecondCousinOf]B→[sonOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondUncleOf]C",boySecondCousinOf,sonOf,girlFirstCousinOnceRemovedOf,secondUncleOf,22,42,0.0015917806236885898,0.5238095238095238
"boyCousinOf(B,A) ∧ boySecondCousinOf(B,C) → boySecondCousinOf(A,C) ∧ girlSecondCousinOf(C,A)","A←[boyCousinOf]B→[boySecondCousinOf]C ⇒ A↔[boySecondCousinOf,girlSecondCousinOf]C",boyCousinOf,boySecondCousinOf,boySecondCousinOf,girlSecondCousinOf,10,21,0.0007235366471311772,0.47619047619047616
"secondUncleOf(B,A) ∧ fatherOf(B,C) → girlSecondCousinOf(A,C) ∧ boySecondCousinOf(C,A)","A←[secondUncleOf]B→[fatherOf]C ⇒ A↔[girlSecondCousinOf,boySecondCousinOf]C",secondUncleOf,fatherOf,girlSecondCousinOf,boySecondCousinOf,30,68,0.0021706099413935317,0.4411764705882353
"greatUncleOf(B,A) ∧ grandfatherOf(B,C) → boySecondCousinOf(A,C) ∧ girlSecondCousinOf(C,A)","A←[greatUncleOf]B→[grandfatherOf]C ⇒ A↔[boySecondCousinOf,girlSecondCousinOf]C",greatUncleOf,grandfatherOf,boySecondCousinOf,girlSecondCousinOf,33,75,0.002387670935532885,0.44
"girlCousinOf(B,A) ∧ girlSecondCousinOf(B,C) → girlSecondCousinOf(A,C) ∧ boySecondCousinOf(C,A)","A←[girlCousinOf]B→[girlSecondCousinOf]C ⇒ A↔[girlSecondCousinOf,boySecondCousinOf]C",girlCousinOf,girlSecondCousinOf,girlSecondCousinOf,boySecondCousinOf,12,29,0.0008682439765574126,0.41379310344827586
"boySecondCousinOf(B,A) ∧ brotherOf(B,C) → girlSecondCousinOf(A,C) ∧ boySecondCousinOf(C,A)","A←[boySecondCousinOf]B→[brotherOf]C ⇒ A↔[girlSecondCousinOf,boySecondCousinOf]C",boySecondCousinOf,brotherOf,girlSecondCousinOf,boySecondCousinOf,26,63,0.0018811952825410606,0.4126984126984127
"sisterOf(B,A) ∧ girlSecondCousinOf(B,C) → girlSecondCousinOf(A,C) ∧ boySecondCousinOf(C,A)","A←[sisterOf]B→[girlSecondCousinOf]C ⇒ A↔[girlSecondCousinOf,boySecondCousinOf]C",sisterOf,girlSecondCousinOf,girlSecondCousinOf,boySecondCousinOf,16,41,0.0011576586354098836,0.3902439024390244
"boyFirstCousinOnceRemovedOf(B,A) ∧ sonOf(B,C) → girlCousinOf(A,C) ∧ boyCousinOf(C,A)","A←[boyFirstCousinOnceRemovedOf]B→[sonOf]C ⇒ A↔[girlCousinOf,boyCousinOf]C",boyFirstCousinOnceRemovedOf,sonOf,girlCousinOf,boyCousinOf,34,90,0.0024600246002460025,0.37777777777777777
"granddaughterOf(B,A) ∧ greatGranddaughterOf(B,C) → sonOf(A,C) ∧ fatherOf(C,A)","A←[granddaughterOf]B→[greatGranddaughterOf]C ⇒ A↔[sonOf,fatherOf]C",granddaughterOf,greatGranddaughterOf,sonOf,fatherOf,140,374,0.010129513059836481,0.37433155080213903
