Rule,Pattern,Relation1,Relation2,Relation3,Count,Body_Count,Support,Confidence
"secondUncleOf(A,B) ∧ girlCousinOf(C,B) → secondUncleOf(A,C)",A→[secondUncleOf]B←[girlCousinOf]C ⇒ A→[secondUncleOf]C,secondUncleOf,girlCousinOf,secondUncleOf,42,5,0.003038853917950944,8.4
"girlCousinOf(A,B) ∧ boySecondCousinOf(C,B) → girlSecondCousinOf(A,C)",A→[girlCousinOf]B←[boySecondCousinOf]C ⇒ A→[girlSecondCousinOf]C,girlCousinOf,boySecondCousinOf,girlSecondCousinOf,18,3,0.001302365964836119,6.0
"boyCousinOf(A,B) ∧ boySecondCousinOf(C,B) → boySecondCousinOf(A,C)",A→[boyCousinOf]B←[boySecondCousinOf]C ⇒ A→[boySecondCousinOf]C,boyCousinOf,boySecondCousinOf,boySecondCousinOf,6,1,0.0004341219882787063,6.0
"uncleOf(A,B) ∧ girlSecondCousinOf(C,B) → secondUncleOf(A,C)",A→[uncleOf]B←[girlSecondCousinOf]C ⇒ A→[secondUncleOf]C,uncleOf,girlSecondCousinOf,secondUncleOf,57,11,0.00412415888864771,5.181818181818182
"boyCousinOf(A,B) ∧ nieceOf(C,B) → secondUncleOf(A,C)",A→[boyCousinOf]B←[nieceOf]C ⇒ A→[secondUncleOf]C,boyCousinOf,nieceOf,secondUncleOf,114,26,0.00824831777729542,4.384615384615385
"brotherOf(A,B) ∧ girlFirstCousinOnceRemovedOf(C,B) → secondUncleOf(A,C)",A→[brotherOf]B←[girlFirstCousinOnceRemovedOf]C ⇒ A→[secondUncleOf]C,brotherOf,girlFirstCousinOnceRemovedOf,secondUncleOf,114,26,0.00824831777729542,4.384615384615385
"secondUncleOf(A,B) ∧ boyCousinOf(C,B) → secondUncleOf(A,C)",A→[secondUncleOf]B←[boyCousinOf]C ⇒ A→[secondUncleOf]C,secondUncleOf,boyCousinOf,secondUncleOf,36,9,0.002604731929672238,4.0
"brotherOf(A,B) ∧ daughterOf(C,B) → uncleOf(A,C)",A→[brotherOf]B←[daughterOf]C ⇒ A→[uncleOf]C,brotherOf,daughterOf,uncleOf,144,40,0.010418927718688952,3.6
"boyCousinOf(A,B) ∧ daughterOf(C,B) → secondUncleOf(A,C)",A→[boyCousinOf]B←[daughterOf]C ⇒ A→[secondUncleOf]C,boyCousinOf,daughterOf,secondUncleOf,58,18,0.004196512553360828,3.2222222222222223
"uncleOf(A,B) ∧ greatUncleOf(C,B) → nephewOf(A,C)",A→[uncleOf]B←[greatUncleOf]C ⇒ A→[nephewOf]C,uncleOf,greatUncleOf,nephewOf,134,43,0.009695391071557775,3.116279069767442
"nieceOf(A,B) ∧ boyFirstCousinOnceRemovedOf(C,B) → girlSecondCousinOf(A,C)",A→[nieceOf]B←[boyFirstCousinOnceRemovedOf]C ⇒ A→[girlSecondCousinOf]C,nieceOf,boyFirstCousinOnceRemovedOf,girlSecondCousinOf,62,20,0.004485927212213299,3.1
"girlSecondCousinOf(A,B) ∧ brotherOf(C,B) → girlSecondCousinOf(A,C)",A→[girlSecondCousinOf]B←[brotherOf]C ⇒ A→[girlSecondCousinOf]C,girlSecondCousinOf,brotherOf,girlSecondCousinOf,34,11,0.0024600246002460025,3.090909090909091
"nephewOf(A,B) ∧ granddaughterOf(C,B) → secondUncleOf(A,C)",A→[nephewOf]B←[granddaughterOf]C ⇒ A→[secondUncleOf]C,nephewOf,granddaughterOf,secondUncleOf,76,25,0.005498878518196947,3.04
"sisterOf(A,B) ∧ boySecondCousinOf(C,B) → girlSecondCousinOf(A,C)",A→[sisterOf]B←[boySecondCousinOf]C ⇒ A→[girlSecondCousinOf]C,sisterOf,boySecondCousinOf,girlSecondCousinOf,27,9,0.0019535489472541786,3.0
"auntOf(A,B) ∧ boySecondCousinOf(C,B) → secondAuntOf(A,C)",A→[auntOf]B←[boySecondCousinOf]C ⇒ A→[secondAuntOf]C,auntOf,boySecondCousinOf,secondAuntOf,64,22,0.004630634541639534,2.909090909090909
"uncleOf(A,B) ∧ secondAuntOf(C,B) → boyCousinOf(A,C)",A→[uncleOf]B←[secondAuntOf]C ⇒ A→[boyCousinOf]C,uncleOf,secondAuntOf,boyCousinOf,170,59,0.012300123001230012,2.8813559322033897
"secondUncleOf(A,B) ∧ auntOf(C,B) → boyCousinOf(A,C)",A→[secondUncleOf]B←[auntOf]C ⇒ A→[boyCousinOf]C,secondUncleOf,auntOf,boyCousinOf,129,46,0.009333622747992185,2.8043478260869565
"brotherOf(A,B) ∧ boyFirstCousinOnceRemovedOf(C,B) → secondUncleOf(A,C)",A→[brotherOf]B←[boyFirstCousinOnceRemovedOf]C ⇒ A→[secondUncleOf]C,brotherOf,boyFirstCousinOnceRemovedOf,secondUncleOf,112,40,0.008103610447869185,2.8
"girlSecondCousinOf(A,B) ∧ sisterOf(C,B) → girlSecondCousinOf(A,C)",A→[girlSecondCousinOf]B←[sisterOf]C ⇒ A→[girlSecondCousinOf]C,girlSecondCousinOf,sisterOf,girlSecondCousinOf,14,5,0.0010129513059836481,2.8
"greatUncleOf(A,B) ∧ auntOf(C,B) → uncleOf(A,C)",A→[greatUncleOf]B←[auntOf]C ⇒ A→[uncleOf]C,greatUncleOf,auntOf,uncleOf,179,64,0.012951305983648072,2.796875
"girlSecondCousinOf(A,B) ∧ girlCousinOf(C,B) → girlSecondCousinOf(A,C)",A→[girlSecondCousinOf]B←[girlCousinOf]C ⇒ A→[girlSecondCousinOf]C,girlSecondCousinOf,girlCousinOf,girlSecondCousinOf,11,4,0.0007958903118442949,2.75
"secondUncleOf(A,B) ∧ sisterOf(C,B) → secondUncleOf(A,C)",A→[secondUncleOf]B←[sisterOf]C ⇒ A→[secondUncleOf]C,secondUncleOf,sisterOf,secondUncleOf,49,18,0.003545329570942768,2.7222222222222223
"uncleOf(A,B) ∧ boySecondCousinOf(C,B) → secondUncleOf(A,C)",A→[uncleOf]B←[boySecondCousinOf]C ⇒ A→[secondUncleOf]C,uncleOf,boySecondCousinOf,secondUncleOf,46,17,0.003328268576803415,2.7058823529411766
"secondUncleOf(A,B) ∧ greatGrandmotherOf(C,B) → grandsonOf(A,C)",A→[secondUncleOf]B←[greatGrandmotherOf]C ⇒ A→[grandsonOf]C,secondUncleOf,greatGrandmotherOf,grandsonOf,158,59,0.0114318790246726,2.6779661016949152
"secondAuntOf(A,B) ∧ brotherOf(C,B) → secondAuntOf(A,C)",A→[secondAuntOf]B←[brotherOf]C ⇒ A→[secondAuntOf]C,secondAuntOf,brotherOf,secondAuntOf,69,26,0.004992402865205123,2.6538461538461537
"uncleOf(A,B) ∧ sisterOf(C,B) → uncleOf(A,C)",A→[uncleOf]B←[sisterOf]C ⇒ A→[uncleOf]C,uncleOf,sisterOf,uncleOf,337,128,0.024383185008320672,2.6328125
"uncleOf(A,B) ∧ greatAuntOf(C,B) → nephewOf(A,C)",A→[uncleOf]B←[greatAuntOf]C ⇒ A→[nephewOf]C,uncleOf,greatAuntOf,nephewOf,313,119,0.022646697055205847,2.630252100840336
"secondUncleOf(A,B) ∧ brotherOf(C,B) → secondUncleOf(A,C)",A→[secondUncleOf]B←[brotherOf]C ⇒ A→[secondUncleOf]C,secondUncleOf,brotherOf,secondUncleOf,57,22,0.00412415888864771,2.590909090909091
"sisterOf(A,B) ∧ boyFirstCousinOnceRemovedOf(C,B) → secondAuntOf(A,C)",A→[sisterOf]B←[boyFirstCousinOnceRemovedOf]C ⇒ A→[secondAuntOf]C,sisterOf,boyFirstCousinOnceRemovedOf,secondAuntOf,152,59,0.010997757036393893,2.5762711864406778
"nephewOf(A,B) ∧ boyFirstCousinOnceRemovedOf(C,B) → boySecondCousinOf(A,C)",A→[nephewOf]B←[boyFirstCousinOnceRemovedOf]C ⇒ A→[boySecondCousinOf]C,nephewOf,boyFirstCousinOnceRemovedOf,boySecondCousinOf,48,19,0.0034729759062296505,2.526315789473684
"uncleOf(A,B) ∧ secondUncleOf(C,B) → boyCousinOf(A,C)",A→[uncleOf]B←[secondUncleOf]C ⇒ A→[boyCousinOf]C,uncleOf,secondUncleOf,boyCousinOf,125,50,0.009044208089139714,2.5
"grandfatherOf(A,B) ∧ girlSecondCousinOf(C,B) → greatUncleOf(A,C)",A→[grandfatherOf]B←[girlSecondCousinOf]C ⇒ A→[greatUncleOf]C,grandfatherOf,girlSecondCousinOf,greatUncleOf,30,12,0.0021706099413935317,2.5
"brotherOf(A,B) ∧ girlCousinOf(C,B) → boyCousinOf(A,C)",A→[brotherOf]B←[girlCousinOf]C ⇒ A→[boyCousinOf]C,brotherOf,girlCousinOf,boyCousinOf,362,145,0.026192026626148616,2.496551724137931
"brotherOf(A,B) ∧ grandmotherOf(C,B) → grandsonOf(A,C)",A→[brotherOf]B←[grandmotherOf]C ⇒ A→[grandsonOf]C,brotherOf,grandmotherOf,grandsonOf,673,274,0.04869401635192822,2.4562043795620436
"sonOf(A,B) ∧ daughterOf(C,B) → brotherOf(A,C)",A→[sonOf]B←[daughterOf]C ⇒ A→[brotherOf]C,sonOf,daughterOf,brotherOf,453,185,0.03277621011504233,2.4486486486486485
"brotherOf(A,B) ∧ uncleOf(C,B) → nephewOf(A,C)",A→[brotherOf]B←[uncleOf]C ⇒ A→[nephewOf]C,brotherOf,uncleOf,nephewOf,259,106,0.01873959916069749,2.443396226415094
"secondAuntOf(A,B) ∧ boyCousinOf(C,B) → secondAuntOf(A,C)",A→[secondAuntOf]B←[boyCousinOf]C ⇒ A→[secondAuntOf]C,secondAuntOf,boyCousinOf,secondAuntOf,61,25,0.004413573547500181,2.44
"brotherOf(A,B) ∧ boyCousinOf(C,B) → boyCousinOf(A,C)",A→[brotherOf]B←[boyCousinOf]C ⇒ A→[boyCousinOf]C,brotherOf,boyCousinOf,boyCousinOf,231,96,0.016713696548730193,2.40625
"brotherOf(A,B) ∧ grandfatherOf(C,B) → grandsonOf(A,C)",A→[brotherOf]B←[grandfatherOf]C ⇒ A→[grandsonOf]C,brotherOf,grandfatherOf,grandsonOf,673,281,0.04869401635192822,2.395017793594306
"girlFirstCousinOnceRemovedOf(A,B) ∧ sisterOf(C,B) → girlFirstCousinOnceRemovedOf(A,C)",A→[girlFirstCousinOnceRemovedOf]B←[sisterOf]C ⇒ A→[girlFirstCousinOnceRemovedOf]C,girlFirstCousinOnceRemovedOf,sisterOf,girlFirstCousinOnceRemovedOf,110,46,0.00795890311844295,2.391304347826087
"boyCousinOf(A,B) ∧ grandmotherOf(C,B) → grandsonOf(A,C)",A→[boyCousinOf]B←[grandmotherOf]C ⇒ A→[grandsonOf]C,boyCousinOf,grandmotherOf,grandsonOf,391,165,0.028290282902829027,2.3696969696969696
"nephewOf(A,B) ∧ daughterOf(C,B) → boyCousinOf(A,C)",A→[nephewOf]B←[daughterOf]C ⇒ A→[boyCousinOf]C,nephewOf,daughterOf,boyCousinOf,127,54,0.00918891541856595,2.3518518518518516
"brotherOf(A,B) ∧ sisterOf(C,B) → brotherOf(A,C)",A→[brotherOf]B←[sisterOf]C ⇒ A→[brotherOf]C,brotherOf,sisterOf,brotherOf,482,205,0.03487446639172274,2.351219512195122
"brotherOf(A,B) ∧ auntOf(C,B) → nephewOf(A,C)",A→[brotherOf]B←[auntOf]C ⇒ A→[nephewOf]C,brotherOf,auntOf,nephewOf,444,189,0.032125027132624266,2.3492063492063493
"uncleOf(A,B) ∧ sonOf(C,B) → greatUncleOf(A,C)",A→[uncleOf]B←[sonOf]C ⇒ A→[greatUncleOf]C,uncleOf,sonOf,greatUncleOf,63,27,0.0045582808769264165,2.3333333333333335
"auntOf(A,B) ∧ nieceOf(C,B) → greatAuntOf(A,C)",A→[auntOf]B←[nieceOf]C ⇒ A→[greatAuntOf]C,auntOf,nieceOf,greatAuntOf,242,104,0.017509586860574487,2.326923076923077
"boyCousinOf(A,B) ∧ sisterOf(C,B) → boyCousinOf(A,C)",A→[boyCousinOf]B←[sisterOf]C ⇒ A→[boyCousinOf]C,boyCousinOf,sisterOf,boyCousinOf,337,145,0.024383185008320672,2.3241379310344827
"grandsonOf(A,B) ∧ motherOf(C,B) → greatGrandsonOf(A,C)",A→[grandsonOf]B←[motherOf]C ⇒ A→[greatGrandsonOf]C,grandsonOf,motherOf,greatGrandsonOf,282,122,0.020403733449099196,2.3114754098360657
"sisterOf(A,B) ∧ daughterOf(C,B) → auntOf(A,C)",A→[sisterOf]B←[daughterOf]C ⇒ A→[auntOf]C,sisterOf,daughterOf,auntOf,196,85,0.014181318283771073,2.3058823529411763
"auntOf(A,B) ∧ daughterOf(C,B) → greatAuntOf(A,C)",A→[auntOf]B←[daughterOf]C ⇒ A→[greatAuntOf]C,auntOf,daughterOf,greatAuntOf,106,46,0.007669488459590478,2.3043478260869565
"nephewOf(A,B) ∧ motherOf(C,B) → grandsonOf(A,C)",A→[nephewOf]B←[motherOf]C ⇒ A→[grandsonOf]C,nephewOf,motherOf,grandsonOf,458,199,0.03313797843860791,2.301507537688442
"nieceOf(A,B) ∧ girlCousinOf(C,B) → girlFirstCousinOnceRemovedOf(A,C)",A→[nieceOf]B←[girlCousinOf]C ⇒ A→[girlFirstCousinOnceRemovedOf]C,nieceOf,girlCousinOf,girlFirstCousinOnceRemovedOf,131,57,0.00947833007741842,2.2982456140350878
"girlSecondCousinOf(A,B) ∧ greatGrandmotherOf(C,B) → greatGranddaughterOf(A,C)",A→[girlSecondCousinOf]B←[greatGrandmotherOf]C ⇒ A→[greatGranddaughterOf]C,girlSecondCousinOf,greatGrandmotherOf,greatGranddaughterOf,62,27,0.004485927212213299,2.2962962962962963
"boyCousinOf(A,B) ∧ nephewOf(C,B) → secondUncleOf(A,C)",A→[boyCousinOf]B←[nephewOf]C ⇒ A→[secondUncleOf]C,boyCousinOf,nephewOf,secondUncleOf,140,61,0.010129513059836481,2.2950819672131146
"daughterOf(A,B) ∧ girlCousinOf(C,B) → girlFirstCousinOnceRemovedOf(A,C)",A→[daughterOf]B←[girlCousinOf]C ⇒ A→[girlFirstCousinOnceRemovedOf]C,daughterOf,girlCousinOf,girlFirstCousinOnceRemovedOf,55,24,0.003979451559221475,2.2916666666666665
"sisterOf(A,B) ∧ grandmotherOf(C,B) → granddaughterOf(A,C)",A→[sisterOf]B←[grandmotherOf]C ⇒ A→[granddaughterOf]C,sisterOf,grandmotherOf,granddaughterOf,747,327,0.054048187540698935,2.2844036697247705
"secondAuntOf(A,B) ∧ auntOf(C,B) → girlCousinOf(A,C)",A→[secondAuntOf]B←[auntOf]C ⇒ A→[girlCousinOf]C,secondAuntOf,auntOf,girlCousinOf,162,71,0.01172129368352507,2.2816901408450705
"grandmotherOf(A,B) ∧ daughterOf(C,B) → greatGrandmotherOf(A,C)",A→[grandmotherOf]B←[daughterOf]C ⇒ A→[greatGrandmotherOf]C,grandmotherOf,daughterOf,greatGrandmotherOf,200,88,0.014470732942623543,2.272727272727273
"boySecondCousinOf(A,B) ∧ greatGrandmotherOf(C,B) → greatGrandsonOf(A,C)",A→[boySecondCousinOf]B←[greatGrandmotherOf]C ⇒ A→[greatGrandsonOf]C,boySecondCousinOf,greatGrandmotherOf,greatGrandsonOf,68,30,0.004920049200492005,2.2666666666666666
"granddaughterOf(A,B) ∧ nieceOf(C,B) → girlFirstCousinOnceRemovedOf(A,C)",A→[granddaughterOf]B←[nieceOf]C ⇒ A→[girlFirstCousinOnceRemovedOf]C,granddaughterOf,nieceOf,girlFirstCousinOnceRemovedOf,77,34,0.0055712321829100644,2.264705882352941
"sonOf(A,B) ∧ girlCousinOf(C,B) → boyFirstCousinOnceRemovedOf(A,C)",A→[sonOf]B←[girlCousinOf]C ⇒ A→[boyFirstCousinOnceRemovedOf]C,sonOf,girlCousinOf,boyFirstCousinOnceRemovedOf,52,23,0.0037623905650821213,2.260869565217391
"sonOf(A,B) ∧ sisterOf(C,B) → nephewOf(A,C)",A→[sonOf]B←[sisterOf]C ⇒ A→[nephewOf]C,sonOf,sisterOf,nephewOf,226,100,0.016351928225164604,2.26
"grandsonOf(A,B) ∧ fatherOf(C,B) → greatGrandsonOf(A,C)",A→[grandsonOf]B←[fatherOf]C ⇒ A→[greatGrandsonOf]C,grandsonOf,fatherOf,greatGrandsonOf,282,125,0.020403733449099196,2.256
"boyFirstCousinOnceRemovedOf(A,B) ∧ grandmotherOf(C,B) → greatGrandsonOf(A,C)",A→[boyFirstCousinOnceRemovedOf]B←[grandmotherOf]C ⇒ A→[greatGrandsonOf]C,boyFirstCousinOnceRemovedOf,grandmotherOf,greatGrandsonOf,180,80,0.01302365964836119,2.25
"uncleOf(A,B) ∧ daughterOf(C,B) → greatUncleOf(A,C)",A→[uncleOf]B←[daughterOf]C ⇒ A→[greatUncleOf]C,uncleOf,daughterOf,greatUncleOf,65,29,0.004702988206352652,2.2413793103448274
"girlCousinOf(A,B) ∧ secondAuntOf(C,B) → girlFirstCousinOnceRemovedOf(A,C)",A→[girlCousinOf]B←[secondAuntOf]C ⇒ A→[girlFirstCousinOnceRemovedOf]C,girlCousinOf,secondAuntOf,girlFirstCousinOnceRemovedOf,69,31,0.004992402865205123,2.225806451612903
